"year","activity","employment","output"
2009,"CNST_main_xxx",23,3690346
2009,"CNST_nres_xxx",41,6542617
2009,"CNST_offc_off",72,0
2009,"CNST_othr_xxx",50,8729002
2009,"CNST_res_xxx",27,6740919
2009,"ENGY_elec_hi",5,8621277
2009,"ENGY_ngas_hi",1,3603146
2009,"ENGY_offc_off",25,0
2009,"ENGY_ptrl_hi",9,4631318
2009,"ENT_ent_ret",79,3571715
2009,"FIRE_fnin_off",150,31902799
2009,"FIRE_real_off",139,15446998
2009,"GOV_admn_gov",102,19036837
2009,"GOV_offc_off",163,0
2009,"HIED_hied_off_inst",80,4569757
2009,"HLTH_care_inst",68,3849533
2009,"HLTH_hosp_hosp",89,12295008
2009,"HLTH_othr_off_li",151,18144155
2009,"HOSP_acc_acc",36,3539955
2009,"HOSP_eat_ret_acc",219,12374280
2009,"INFO_info_off",48,0
2009,"INFO_info_off_li",10,15239006
2009,"K12_k12_k12",168,12626084
2009,"K12_k12_off",57,0
2009,"MFG_food_hi",15,10829729
2009,"MFG_food_li",15,10829729
2009,"MFG_htec_hi",4,13063888
2009,"MFG_htec_li",3,13063888
2009,"MFG_hvtw_hi",23,14441531
2009,"MFG_hvtw_li",23,14441531
2009,"MFG_lvtw_hi",12,12978764
2009,"MFG_offc_off",147,0
2009,"MFG_wdppr_hi",26,11847956
2009,"RES_agmin_ag",98,16903898
2009,"RES_forst_log",8,2519145
2009,"RES_offc_off",63,0
2009,"RET_auto_ret",99,7439574
2009,"RET_nstor_off",46,2193797
2009,"RET_stor_off",57,0
2009,"RET_stor_ret",229,16026845
2009,"SERV_bus_off",173,14387505
2009,"SERV_home_xxx",55,456868
2009,"SERV_nonp_off_inst",133,9376816
2009,"SERV_site_li",67,5828887
2009,"SERV_stor_ret",81,5164733
2009,"SERV_tech_off",219,22817589
2009,"TRNS_trns_off",45,0
2009,"TRNS_trns_ware",67,14723200
2009,"UTL_othr_off",15,0
2009,"UTL_othr_off_li",18,8378149
2009,"WHSL_offc_off",28,0
2009,"WHSL_whsl_ware",86,19829593
2010,"CNST_main_xxx",21,3305802
2010,"CNST_nres_xxx",37,5667002
2010,"CNST_offc_off",66,0
2010,"CNST_othr_xxx",46,7560679
2010,"CNST_res_xxx",25,6480138
2010,"ENGY_elec_hi",5,8856550
2010,"ENGY_ngas_hi",1,3663257
2010,"ENGY_offc_off",24,0
2010,"ENGY_ptrl_hi",8,4738554
2010,"ENT_ent_ret",79,3581572
2010,"FIRE_fnin_off",147,31833993
2010,"FIRE_real_off",136,15531665
2010,"GOV_admn_gov",103,19139548
2010,"GOV_offc_off",164,0
2010,"HIED_hied_off_inst",81,4533886
2010,"HLTH_care_inst",70,3906428
2010,"HLTH_hosp_hosp",90,12475368
2010,"HLTH_othr_off_li",154,18409768
2010,"HOSP_acc_acc",36,3551396
2010,"HOSP_eat_ret_acc",218,12415381
2010,"INFO_info_off",47,0
2010,"INFO_info_off_li",10,15425260
2010,"K12_k12_k12",167,12292723
2010,"K12_k12_off",57,0
2010,"MFG_food_hi",15,11337772
2010,"MFG_food_li",15,11337772
2010,"MFG_htec_hi",4,13375255
2010,"MFG_htec_li",3,13375255
2010,"MFG_hvtw_hi",22,14521121
2010,"MFG_hvtw_li",22,14521121
2010,"MFG_lvtw_hi",11,13095482
2010,"MFG_offc_off",144,0
2010,"MFG_wdppr_hi",25,11313818
2010,"RES_agmin_ag",98,17479467
2010,"RES_forst_log",8,2599550
2010,"RES_offc_off",62,0
2010,"RET_auto_ret",98,7596404
2010,"RET_nstor_off",46,2279544
2010,"RET_stor_off",57,0
2010,"RET_stor_ret",228,16652572
2010,"SERV_bus_off",176,14444328
2010,"SERV_home_xxx",54,453333
2010,"SERV_nonp_off_inst",134,9313498
2010,"SERV_site_li",67,5856365
2010,"SERV_stor_ret",81,5146556
2010,"SERV_tech_off",220,23219697
2010,"TRNS_trns_off",45,0
2010,"TRNS_trns_ware",65,14985267
2010,"UTL_othr_off",15,0
2010,"UTL_othr_off_li",18,8524434
2010,"WHSL_offc_off",27,0
2010,"WHSL_whsl_ware",84,20279744
2011,"CNST_main_xxx",21,3324818
2011,"CNST_nres_xxx",38,5567242
2011,"CNST_offc_off",66,0
2011,"CNST_othr_xxx",46,7427993
2011,"CNST_res_xxx",25,6819295
2011,"ENGY_elec_hi",5,9160187
2011,"ENGY_ngas_hi",1,3833198
2011,"ENGY_offc_off",24,0
2011,"ENGY_ptrl_hi",9,4948812
2011,"ENT_ent_ret",80,3675190
2011,"FIRE_fnin_off",147,32093981
2011,"FIRE_real_off",135,15692495
2011,"GOV_admn_gov",101,19457260
2011,"GOV_offc_off",161,0
