split_industry_id,split_industry
0,no_industry
1,RES_agmin_ag
2,RES_forst_log
3,RES_offc_off
4,ENGY_elec_hi
5,ENGY_ngas_hi
6,ENGY_ptrl_hi
7,ENGY_offc_off
8,CNST_main_xxx
9,CNST_nres_xxx
10,CNST_othr_xxx
11,CNST_res_xxx
12,CNST_offc_off
13,MFG_food_hi
14,MFG_food_li
15,MFG_htec_hi
16,MFG_htec_li
17,MFG_hvtw_hi
18,MFG_hvtw_li
19,MFG_lvtw_hi
20,MFG_wdppr_hi
21,MFG_offc_off
22,WHSL_whsl_ware
23,WHSL_offc_off
24,RET_auto_ret
25,RET_stor_ret
26,RET_stor_off
27,RET_nstor_off
28,TRNS_trns_ware
29,TRNS_trns_off
30,INFO_info_off_li
31,INFO_info_off
32,UTL_othr_off_li
33,UTL_othr_off
34,FIRE_fnin_off
35,FIRE_real_off
36,HLTH_hosp_hosp
37,HLTH_care_inst
38,HLTH_othr_off_li
39,K12_k12_k12
40,K12_k12_off
41,HIED_hied_off_inst
42,ENT_ent_ret
43,HOSP_acc_acc
44,HOSP_eat_ret_acc
45,SERV_tech_off
46,SERV_site_li
47,SERV_home_xxx
48,SERV_bus_off
49,SERV_nonp_off_inst
50,SERV_stor_ret
51,GOV_admn_gov
52,GOV_offc_off
